ingredient,raw,n_sources,herb_hits,mapped,CHP_ID,chinese,english,how,note,formula_n,has_props,review_needed,review_note,ambiguous,alt_candidates,norm_how
아몬드,아몬드,4,10,Y,CHP04065,桃仁,Prunus dulcis,한자사전,아몬드→桃仁,264,Y,Y,桃仁=Prunus dulcis로 기재됐으나 통상 桃仁은 복숭아씨(P. persica) — D6 학명 의심,N,,원형
참기름,참기름,4,10,Y,CHP05104,野芝麻,Sesame,한자사전,참기름→芝麻,49,Y,N,,N,,원형
파슬리,파슬리,4,10,Y,CHP06209,欧芹菜籽,Petroselinum crispum,한자사전,파슬리→欧芹菜籽,0,N,Y,"欧芹菜籽=파슬리 씨앗 — 잎이 아님, D7 성미 없음",N,,원형
오레가노,오레가노,2,10,Y,CHP03028,牛至,Origanum vulgare,한자사전,오레가노→牛至,6,Y,N,,N,,원형
블랙커런트,블랙커런트,1,10,N,,,,실패,,0,N,N,,N,,원형
회향,회향|회향씨|회향씨(펜넬씨드),4,10,Y,CHP01757,茴香,Pimpinella anisum,한자사전,회향→茴香,128,Y,N,,N,,괄호제거+동의어|동의어|원형
올스파이스,올스파이스,4,9,N,,,,실패,,0,N,N,,N,,원형
차,차,2,9,Y,CHP00333,茶叶,Tea Plant,한자사전,차→茶叶,34,Y,N,,N,,원형
강황,강황,4,9,Y,CHP01864,姜黄,Curcuma longa,한자사전,강황→姜黄,101,Y,N,,N,,원형
버섯,버섯,4,9,Y,CHP06117,蘑菇,Agaricus bisporus,한자사전,버섯→蘑菇,1,Y,N,,N,,원형
초콜릿,초콜릿,3,9,N,,,,실패,,0,N,N,,N,,원형
식초,식초|쌀식초,3,8,N,,,,실패,,0,N,N,,N,,동의어|원형
계란,계란,1,8,Y,CHP05886,鸡子,Chicken Egg,한자사전,계란→鸡子,0,Y,Y,"鸡子=Chicken Egg 정확, 방제 0회",N,,원형
건포도,sultana|건포도,4,8,Y,CHP03130,葡萄,Vitis vinifera,한자사전,건포도→葡萄,14,Y,N,,N,,영문사전|원형
식용유,식용유,1,8,N,,,,실패,,0,N,N,,N,,원형
바나나,banana|바나나,5,8,Y,CHP04568,香蕉,Musa acuminata,한자사전,바나나→香蕉,0,Y,N,,N,,영문사전|원형
코코넛,코코넛,4,8,Y,CHP05007,椰子,Coconut,한자사전,코코넛→椰子,0,Y,N,,N,,원형
살구,살구,2,7,Y,CHP04798,杏子,Apricot,한자사전,살구→杏子,0,Y,N,,N,,원형
마조람,마조람,1,7,N,,,,실패,,0,N,N,,N,,원형
딸기,딸기,4,7,Y,CHP00319,草莓,Fragaria x ananassa,한자사전,딸기→草莓,3,Y,N,,N,,원형
양고기,양고기,3,7,Y,CHP06052,羊脬,Ovis aries,한자사전,양고기→羊脬,0,Y,Y,羊脬=Ovis aries(양 방광) — 고기가 아님,N,,원형
표고버섯,표고버섯,4,6,Y,CHP06131,香菇,Lentinula edodes,한자사전,표고버섯→香菇,9,Y,N,,N,,원형
소금후추,소금후추,1,6,N,,,,실패,,0,N,N,,N,,원형
쌀,쌀,2,6,Y,CHP01988,粳米,Rice,한자사전,쌀→粳米,3,Y,N,,N,,원형
망고,망고,3,6,Y,CHP02638,芒果,Mangifera indica Fruit,한자사전,망고→芒果,0,Y,N,,N,,원형
구아바,구아바,1,6,Y,CHP00990,番石榴,Guava,한자사전,구아바→番石榴,0,Y,N,,N,,원형
소고기,소고기,2,6,N,,,,실패,,0,N,N,,N,,원형
파인애플,파인애플,3,6,N,,,,실패,,0,N,N,,N,,원형
